,Website,URL,Headline,Entities
1,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,What you need to know,[]
2,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,CNN's town hall on the coronavirus has ended,"[('CNN', 'ORG')]"
3,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,"The loss of community during Covid-19 is ""tragic and traumatizing,"" says actress Taraji P. Henson","[('Taraji P. Henson', 'PERSON')]"
4,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,"Actress Taraji P. Henson: ""I'm trying to stop a bleeding wound and it just keeps bleeding""","[('Actress Taraji P. Henson', 'PERSON')]"
5,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,Here's how you can protect yourself when eating at a restaurant,[]
6,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,"The six-foot social distancing recommendation is a ""rule of thumb,"" experts say","[('six-foot', 'QUANTITY')]"
7,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,Writer predicted killer pathogen similar to coronavirus 8 years ago,"[('Writer', 'ORG'), ('8 years ago', 'DATE')]"
8,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,Brazil hits record high for new coronavirus cases,"[('Brazil', 'GPE')]"
9,CNN,https://www.cnn.com/world/live-news/coronavirus-pandemic-05-28-20-intl/index.html,CNN's global town hall on the coronavirus pandemic will start soon,"[('CNN', 'ORG')]"
10,NBC,https://www.nbcnews.com/health/coronavirus,"An American tragedy: As we mourn 100,000, U.S. reckons with its flaws and promise","[('American', 'NORP'), ('100,000', 'CARDINAL'), ('U.S.', 'GPE')]"
11,NBC,https://www.nbcnews.com/health/coronavirus,Live Blog / Latest news on the global pandemic,[]
12,NBC,https://www.nbcnews.com/health/coronavirus,How private jet owners got a subsidy from coronavirus relief funds,[]
13,NBC,https://www.nbcnews.com/health/coronavirus,"Cancer, coronavirus are a dangerous mix, new studies find",[]
14,NBC,https://www.nbcnews.com/health/coronavirus,Lawsuit says Trump admin order unfairly separates immigrant parents from older kids,"[('Lawsuit', 'ORG'), ('Trump', 'PRODUCT')]"
15,NBC,https://www.nbcnews.com/health/coronavirus,"Enforcement of social distancing shows familiar pattern of racial disparity, experts say",[]
16,NBC,https://www.nbcnews.com/health/coronavirus,"Wisconsin reports record number of new coronavirus cases, deaths","[('Wisconsin', 'GPE')]"
17,NBC,https://www.nbcnews.com/health/coronavirus,Have you lost your job during the pandemic? Tell us your story,[]
18,NBC,https://www.nbcnews.com/health/coronavirus,Historically black college gets federal boost in testing coronavirus drug,[]
19,NBC,https://www.nbcnews.com/health/coronavirus,Trump eager for July Fourth celebration in D.C. despite coronavirus pandemic,"[('July Fourth', 'DATE'), ('D.C.', 'GPE')]"
20,NBC,https://www.nbcnews.com/health/coronavirus,The one group that is happy about the destruction caused by coronavirus,"[('one', 'CARDINAL')]"
21,NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus reopenings give divorced parents one more thing to argue about,"[('Coronavirus', 'ORG'), ('one', 'CARDINAL')]"
22,NBC,https://www.nbcnews.com/health/coronavirus,Memorial Day crowds were a wake-up call — states need mandatory masks now,"[('Memorial Day', 'GPE')]"
23,NBC,https://www.nbcnews.com/health/coronavirus,Trump's scapegoating of Asian Americans is an affront to all Americans,"[('Trump', 'PERSON'), ('Asian Americans', 'NORP'), ('Americans', 'NORP')]"
24,NBC,https://www.nbcnews.com/health/coronavirus,Comedy is no coronavirus vaccine. But can it make living through a pandemic easier?,[]
25,NBC,https://www.nbcnews.com/health/coronavirus,Arguments over reclining are so yesterday. Here’s what the future of flying looks like.,"[('yesterday', 'DATE')]"
26,NBC,https://www.nbcnews.com/health/coronavirus,"When coronavirus' toll on long-term care became personal, a reporter began tracking the numbers",[]
27,NBC,https://www.nbcnews.com/health/coronavirus,Reverend Al Sharpton on the killing of Ahmaud Arbery and the fight for justice,"[('Al Sharpton', 'PERSON')]"
28,NBC,https://www.nbcnews.com/health/coronavirus,"Doctors, nurses and hospital staff",[]
29,NBC,https://www.nbcnews.com/health/coronavirus,Small businesses and their employees,[]
30,NBC,https://www.nbcnews.com/health/coronavirus,Senior citizens and the elderly,[]
31,NBC,https://www.nbcnews.com/health/coronavirus,What cleaning products kill the coronavirus?,[]
32,NBC,https://www.nbcnews.com/health/coronavirus,Are at-home testing kits available?,[]
33,NBC,https://www.nbcnews.com/health/coronavirus,Can you catch COVID-19 twice? ,[]
34,NBC,https://www.nbcnews.com/health/coronavirus,"Gyms are eager to reopen, but are they safe?",[]
35,NBC,https://www.nbcnews.com/health/coronavirus,How will coronavirus change the way we fly?,[]
36,NBC,https://www.nbcnews.com/health/coronavirus,It's been 2 months since the first U.S. coronavirus death. Here's a look at some of the lives lost.,"[('2 months', 'DATE'), ('first', 'ORDINAL'), ('U.S.', 'GPE')]"
37,NBC,https://www.nbcnews.com/health/coronavirus,"Affairs, hoarders and hope: Read anonymous confessions in the time of the coronavirus",[]
38,NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus: What you need to know,[]
39,NBC,https://www.nbcnews.com/health/coronavirus,MSNBC Special Report: Testing and the Road to Reopening,"[('MSNBC', 'ORG')]"
40,NBC,https://www.nbcnews.com/health/coronavirus,'Into The Red Zone': An NBC News NOW documentary ,"[(""The Red Zone'"", 'ORG'), ('NBC News', 'ORG')]"
41,NBC,https://www.nbcnews.com/health/coronavirus,Portrait of a neighborhood under lockdown,[]
42,NBC,https://www.nbcnews.com/health/coronavirus,Photos capture empty cities across the globe,[]
43,NBC,https://www.nbcnews.com/health/coronavirus,New Yorkers are giving nightly ovations to health workers. These are their portraits,"[('New Yorkers', 'NORP')]"
44,NBC,https://www.nbcnews.com/health/coronavirus,Map: Track coronavirus deaths around the world,[]
